planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
lax_gen19,lax,gen,19,1,lax_gen19_t1,20,24,0,4,269,
lax_gen19,lax,gen,19,1,lax_gen19_t1,25,29,0,4,939,
lax_gen19,lax,gen,19,1,lax_gen19_t1,30,34,0,4,722,
lax_gen19,lax,gen,19,1,lax_gen19_t1,35,39,0,4,459,
lax_gen19,lax,gen,19,1,lax_gen19_t1,40,44,0,4,334,
lax_gen19,lax,gen,19,1,lax_gen19_t1,45,49,0,4,262,
lax_gen19,lax,gen,19,1,lax_gen19_t1,50,54,0,4,200,
lax_gen19,lax,gen,19,1,lax_gen19_t1,55,59,0,4,164,
lax_gen19,lax,gen,19,1,lax_gen19_t1,60,64,0,4,128,
lax_gen19,lax,gen,19,1,lax_gen19_t1,65,70,0,4,63,
lax_gen19,lax,gen,19,1,lax_gen19_t1,20,24,5,9,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,25,29,5,9,115,
lax_gen19,lax,gen,19,1,lax_gen19_t1,30,34,5,9,349,
lax_gen19,lax,gen,19,1,lax_gen19_t1,35,39,5,9,336,
lax_gen19,lax,gen,19,1,lax_gen19_t1,40,44,5,9,208,
lax_gen19,lax,gen,19,1,lax_gen19_t1,45,49,5,9,182,
lax_gen19,lax,gen,19,1,lax_gen19_t1,50,54,5,9,151,
lax_gen19,lax,gen,19,1,lax_gen19_t1,55,59,5,9,133,
lax_gen19,lax,gen,19,1,lax_gen19_t1,60,64,5,9,97,
lax_gen19,lax,gen,19,1,lax_gen19_t1,65,70,5,9,79,
lax_gen19,lax,gen,19,1,lax_gen19_t1,20,24,10,14,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,25,29,10,14,4,
lax_gen19,lax,gen,19,1,lax_gen19_t1,30,34,10,14,324,
lax_gen19,lax,gen,19,1,lax_gen19_t1,35,39,10,14,965,
lax_gen19,lax,gen,19,1,lax_gen19_t1,40,44,10,14,930,
lax_gen19,lax,gen,19,1,lax_gen19_t1,45,49,10,14,778,
lax_gen19,lax,gen,19,1,lax_gen19_t1,50,54,10,14,696,
lax_gen19,lax,gen,19,1,lax_gen19_t1,55,59,10,14,599,
lax_gen19,lax,gen,19,1,lax_gen19_t1,60,64,10,14,496,
lax_gen19,lax,gen,19,1,lax_gen19_t1,65,70,10,14,363,
lax_gen19,lax,gen,19,1,lax_gen19_t1,20,24,15,19,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,25,29,15,19,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,30,34,15,19,5,
lax_gen19,lax,gen,19,1,lax_gen19_t1,35,39,15,19,288,
lax_gen19,lax,gen,19,1,lax_gen19_t1,40,44,15,19,855,
lax_gen19,lax,gen,19,1,lax_gen19_t1,45,49,15,19,910,
lax_gen19,lax,gen,19,1,lax_gen19_t1,50,54,15,19,806,
lax_gen19,lax,gen,19,1,lax_gen19_t1,55,59,15,19,721,
lax_gen19,lax,gen,19,1,lax_gen19_t1,60,64,15,19,532,
lax_gen19,lax,gen,19,1,lax_gen19_t1,65,70,15,19,465,
lax_gen19,lax,gen,19,1,lax_gen19_t1,20,24,20,24,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,25,29,20,24,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,30,34,20,24,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,35,39,20,24,9,
lax_gen19,lax,gen,19,1,lax_gen19_t1,40,44,20,24,166,
lax_gen19,lax,gen,19,1,lax_gen19_t1,45,49,20,24,544,
lax_gen19,lax,gen,19,1,lax_gen19_t1,50,54,20,24,573,
lax_gen19,lax,gen,19,1,lax_gen19_t1,55,59,20,24,492,
lax_gen19,lax,gen,19,1,lax_gen19_t1,60,64,20,24,242,
lax_gen19,lax,gen,19,1,lax_gen19_t1,65,70,20,24,220,
lax_gen19,lax,gen,19,1,lax_gen19_t1,20,24,25,29,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,25,29,25,29,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,30,34,25,29,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,35,39,25,29,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,40,44,25,29,15,
lax_gen19,lax,gen,19,1,lax_gen19_t1,45,49,25,29,182,
lax_gen19,lax,gen,19,1,lax_gen19_t1,50,54,25,29,607,
lax_gen19,lax,gen,19,1,lax_gen19_t1,55,59,25,29,532,
lax_gen19,lax,gen,19,1,lax_gen19_t1,60,64,25,29,311,
lax_gen19,lax,gen,19,1,lax_gen19_t1,65,70,25,29,164,
lax_gen19,lax,gen,19,1,lax_gen19_t1,20,24,30,34,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,25,29,30,34,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,30,34,30,34,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,35,39,30,34,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,40,44,30,34,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,45,49,30,34,19,
lax_gen19,lax,gen,19,1,lax_gen19_t1,50,54,30,34,540,
lax_gen19,lax,gen,19,1,lax_gen19_t1,55,59,30,34,629,
lax_gen19,lax,gen,19,1,lax_gen19_t1,60,64,30,34,364,
lax_gen19,lax,gen,19,1,lax_gen19_t1,65,70,30,34,241,
lax_gen19,lax,gen,19,1,lax_gen19_t1,20,24,35,40,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,25,29,35,40,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,30,34,35,40,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,35,39,35,40,,
